id,player,fantasy_position
5dfeb94f,Savannah King,DF
2e87a8a5,Riley Jackson,DF
d66e970b,Megan Reid,DF
c6122e4b,Sarah Gorden,DF
8252bc62,Alanna Kennedy,DF
a0516248,Mary Vignola,DF
36008361,Gisele Thompson,DF
2ae9e277,Miyabi Moriya,DF
eea3655d,Elizabeth Ball,DF
e15b6ffd,Jayden Perry,FW
662d8aeb,Julie Dufour,FW
493c384e,Casey Murphy,FW
f2284088,Claire Emslie,FW
7c6de047,Justina Gaynor,FW
2fcc0a10,Alyssa Thompson,FW
fe95f6e7,Christen Press,FW
47b9e2ef,Hannah Bebar,GK
06115ef0,Angelina Anderson,GK
213a7877,Katie Zelem,MF
97b96797,Macey Hodge,MF
be5200d5,Kennedy Fuller,MF
6fe0b3fe,Lily Nabet,MF
16368450,Madison Hammond,MF
c4f44958,Caprice Dydasco,DF
ce4f4c97,Emily Mason,DF
52b58405,Abby Dahlkemper,DF
9fe4c40f,Jordan Silkowitz,DF
50bf36a3,Alyssa Malonson,DF
938dc3a8,Kiki Pickett,DF
da57cca7,Madeline Moreau,DF
93daa4eb,Karlie Lema,FW
3857e361,Marta,FW
23a1662b,Asisat Oshoala,FW
32f48f46,Racheal Kundananji,FW
4c3147d0,Tess Boade,FW
1d8b51dd,Rachel Hill,FW
9b45521f,Penelope Hocking,FW
feb132ed,Ellie Jean,GK
bc03c54d,Kelli Hubly,DF
f3a1b6a9,Jamie Shepherd,MF
b035ac13,Caroline Conti,MF
edb4b4b1,Joelle Anderson,MF
1b15d6a3,Dorian Bailey,MF
e9082a8d,Taylor Huff,MF
9b763275,Samantha Staab,DF
76828205,Camryn Biegalski,DF
a0c8f7b2,Taylor Malham,DF
53cef818,Hannah Anderson,DF
7ca7c385,Alana Cook,FW
0f668725,Jameese Joseph,FW
45cf25bf,Haley Hanson,FW
aa902703,Lilly Reale,FW
fab5ceed,Sarah Griffith,FW
43466fe0,Janine Beckie,FW
a1ee25ac,Nádia Gomes,FW
758fe55e,Ally Schlegel,FW
a3ac4412,Micayla Johnson,FW
4c1ee572,Alyssa Naeher,GK
30f6344f,Mackenzie Arnold,GK
1af74efc,Mallie McKenzie,GK
56f16bc7,Cari Roccaro,MF
ee96ceb8,Shea Groom,MF
