seed_name,player_id,db_name,score,needs_review
Ally Schlegel,1455367,Allyson Schlegel,89.65517241379311,True
Cori Dyke,1626117,Coriana Dyke,85.71428571428572,True
Dani Weatherholt,872714,Danielle Weatherholt,88.88888888888889,True
Isabella Obaze,985424,Isabella Bryld Obaze,82.35294117647058,True
Jess Carter,932208,Jessica Carter,88.0,True
Jess Fishlock,638033,Jessica Fishlock,89.65517241379311,True
Jun End?,980955,Jun Endo,87.5,True
Kathrin Hendrich,859026,Kathrin-Julia Hendrich,84.21052631578947,True
Maddie Mercado,1643301,Madison Mercado,82.75862068965517,True
Maddie Moreau,1626413,Madeline Moreau,85.71428571428572,True
Maithé López,1044175,Maitane Lopez,88.0,True
Marie-Yasmine Alidou,881820,Marie-Yasmine Alidou D'Anjou,83.33333333333334,True
Rebeca Costa da Silva,1747841,Rebeca da Silva,83.33333333333334,True
Sveindís Jónsdóttir,1187388,Sveindis Jane Jonsdottir,88.37209302325581,True
Abby Dahlkemper,754150,Abby Dahlkemper,100,False
Abby Smith,1081909,Abby Smith,100,False
Adriana Leon,646139,Adriana Leon,100,False
Ainsley McCammon,1675026,Ainsley McCammon,100,False
Alana Cook,1091825,Alana Cook,100,False
Alex Loera,1359938,Alexis Loera,90.9090909090909,False
Alex Pfeiffer,1623817,Alex Pfeiffer,100,False
Alexa Spaanstra,1455302,Alexa Spaanstra,100,False
Ally Lemos,1618241,Ally Lemos,100,False
Ally Sentnor,1623860,Ally Sentnor,100,False
Allysha Chapman,646135,Allysha Chapman,100,False
Alyssa Malonson,1359808,Alyssa Malonson,100,False
Alyssa Naeher,294601,Alyssa Naeher,100,False
Ana Tejada,1044346,Ana Tejada,100,False
Angelina,1266142,Angelina,100,False
Angelina Anderson,1451621,Angelina Anderson,100,False
Ann-Katrin Berger,294602,Ann-Katrin Berger,100,False
Anna Moorhouse,1045113,Anna Moorhouse,100,False
Aria Nagai,1727506,Aria Nagai,100,False
Arin Wright,1018820,Arin Wright,100,False
Ary Borges,1366878,Ary Borges,100,False
Ashley Hatch,852090,Ashley Hatch,100,False
Ashley Sanchez,1170693,Ashley Sanchez,100,False
Aubrey Kingsbury,562800,Aubrey Kingsbury,100,False
